events_per_sec,exec_ratio,unique_comms,max_files_per_proc,max_chain_depth,session,label
187.4,0.0,12.0,1012.0,3.0,baseline_browsing_20260801_174650,baseline
386.4,0.0,15.0,2110.0,3.0,baseline_browsing_20260801_174650,baseline
171.4,0.0005834305717619603,14.0,758.0,3.0,baseline_browsing_20260801_174650,baseline
234.6,0.0,13.0,1406.0,3.0,baseline_browsing_20260801_174650,baseline
133.1,0.0,13.0,717.0,3.0,baseline_browsing_20260801_174650,baseline
235.0,0.0,16.0,1407.0,3.0,baseline_browsing_20260801_174650,baseline
29.7,0.0,9.0,131.0,3.0,baseline_browsing_20260801_174650,baseline
168.6,0.0,14.0,971.0,3.0,baseline_browsing_20260801_174650,baseline
109.7,0.0,10.0,612.0,3.0,baseline_browsing_20260801_174650,baseline
142.6,0.0007012622720897616,14.0,586.0,3.0,baseline_browsing_20260801_174650,baseline
256.2,0.0,17.0,1413.0,3.0,baseline_browsing_20260801_174650,baseline
41.0,0.0,13.0,182.0,3.0,baseline_browsing_20260801_174650,baseline
58.8,0.0,14.0,324.0,4.0,baseline_browsing_20260801_174650,baseline
269.6,0.0,15.0,1931.0,3.0,baseline_browsing_20260801_174650,baseline
103.0,0.0,12.0,838.0,3.0,baseline_browsing_20260801_174650,baseline
213.6,0.00046816479400749064,11.0,1058.0,3.0,baseline_browsing_20260801_174650,baseline
9.1,0.0,11.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
9.1,0.0,10.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
9.4,0.0,9.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
45.2,0.0,13.0,282.0,4.0,baseline_browsing_20260801_174650,baseline
30.3,0.0,8.0,221.0,3.0,baseline_browsing_20260801_174650,baseline
11.4,0.0,10.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
11.5,0.0,9.0,52.0,3.0,baseline_browsing_20260801_174650,baseline
14.2,0.0,9.0,76.0,4.0,baseline_browsing_20260801_174650,baseline
8.8,0.0,9.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
26.2,0.0,11.0,202.0,4.0,baseline_browsing_20260801_174650,baseline
30.6,0.0,11.0,195.0,3.0,baseline_browsing_20260801_174650,baseline
21.1,0.0,9.0,136.0,6.0,baseline_browsing_20260801_174650,baseline
20.2,0.0,9.0,131.0,3.0,baseline_browsing_20260801_174650,baseline
7.7,0.0,8.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
21.3,0.0,9.0,144.0,4.0,baseline_browsing_20260801_174650,baseline
9.9,0.0,9.0,48.0,3.0,baseline_browsing_20260801_174650,baseline
63.9,0.0,10.0,524.0,3.0,baseline_browsing_20260801_174650,baseline
205.1,0.00048756704046806434,11.0,1191.0,3.0,baseline_browsing_20260801_174650,baseline
